,Année,Lattitudes,Températures
277,1972,24N-44N,-0.25
278,1972,EQU-24N,0.06
279,1973,44N-64N,0.27
280,1973,24N-44N,0.01
281,1973,EQU-24N,0.08
282,1974,44N-64N,-0.07
283,1974,24N-44N,-0.18
284,1974,EQU-24N,-0.23
285,1975,44N-64N,0.39
286,1975,24N-44N,-0.05
287,1975,EQU-24N,-0.31
288,1976,44N-64N,-0.32
289,1976,24N-44N,-0.28
290,1976,EQU-24N,-0.13
291,1977,44N-64N,0.24
292,1977,24N-44N,0.06
293,1977,EQU-24N,0.09
294,1978,44N-64N,0.04
295,1978,24N-44N,-0.04
296,1978,EQU-24N,0.1
297,1979,44N-64N,0.07
298,1979,24N-44N,0.09
299,1979,EQU-24N,0.25
300,1980,44N-64N,0.02
301,1980,24N-44N,0.02
302,1980,EQU-24N,0.32
303,1981,44N-64N,0.79
304,1981,24N-44N,0.08
305,1981,EQU-24N,0.21
306,1982,44N-64N,0.1
307,1982,24N-44N,-0.08
308,1982,EQU-24N,0.25
309,1983,44N-64N,0.69
310,1983,24N-44N,-0.07
311,1983,EQU-24N,0.29
312,1984,44N-64N,0.08
313,1984,24N-44N,-0.14
314,1984,EQU-24N,0.07
315,1985,44N-64N,-0.26
316,1985,24N-44N,-0.02
317,1985,EQU-24N,0.04
318,1986,44N-64N,0.28
319,1986,24N-44N,0.03
320,1986,EQU-24N,0.17
321,1987,44N-64N,0.13
322,1987,24N-44N,0.12
323,1987,EQU-24N,0.55
324,1988,44N-64N,0.57
325,1988,24N-44N,0.24
326,1988,EQU-24N,0.32
327,1989,44N-64N,0.69
328,1989,24N-44N,0.25
329,1989,EQU-24N,0.06
330,1990,44N-64N,0.88
331,1990,24N-44N,0.48
332,1990,EQU-24N,0.37
333,1991,44N-64N,0.66
334,1991,24N-44N,0.26
335,1991,EQU-24N,0.32
336,1992,44N-64N,0.44
337,1992,24N-44N,-0.04
338,1992,EQU-24N,0.19
339,1993,44N-64N,0.3
340,1993,24N-44N,-0.11
341,1993,EQU-24N,0.28
342,1994,44N-64N,0.5
343,1994,24N-44N,0.41
344,1994,EQU-24N,0.27
345,1995,44N-64N,0.98
346,1995,24N-44N,0.31
347,1995,EQU-24N,0.39
348,1996,44N-64N,0.17
349,1996,24N-44N,0.1
350,1996,EQU-24N,0.3
351,1997,44N-64N,0.9
352,1997,24N-44N,0.22
353,1997,EQU-24N,0.49
354,1998,44N-64N,0.94
355,1998,24N-44N,0.65
356,1998,EQU-24N,0.59
357,1999,44N-64N,0.8
358,1999,24N-44N,0.74
359,1999,EQU-24N,0.14
360,2000,44N-64N,0.8
361,2000,24N-44N,0.55
362,2000,EQU-24N,0.2
363,2001,44N-64N,0.86
364,2001,24N-44N,0.68
365,2001,EQU-24N,0.39
366,2002,44N-64N,1.0
367,2002,24N-44N,0.58
368,2002,EQU-24N,0.54
369,2003,44N-64N,0.98
370,2003,24N-44N,0.54
371,2003,EQU-24N,0.6
372,2004,44N-64N,0.95
373,2004,24N-44N,0.66
374,2004,EQU-24N,0.55
375,2005,44N-64N,1.22
376,2005,24N-44N,0.57
377,2005,EQU-24N,0.61
378,2006,44N-64N,1.06
379,2006,24N-44N,0.69
380,2006,EQU-24N,0.56
381,2007,44N-64N,1.32
382,2007,24N-44N,0.69
383,2007,EQU-24N,0.44
384,2008,44N-64N,1.07
385,2008,24N-44N,0.61
386,2008,EQU-24N,0.32
387,2009,44N-64N,0.6
388,2009,24N-44N,0.68
389,2009,EQU-24N,0.64
390,2010,44N-64N,0.86
391,2010,24N-44N,0.74
392,2010,EQU-24N,0.71
393,2011,44N-64N,0.94
394,2011,24N-44N,0.58
395,2011,EQU-24N,0.38
396,2012,44N-64N,0.93
397,2012,24N-44N,0.73
398,2012,EQU-24N,0.46
399,2013,44N-64N,1.04
400,2013,24N-44N,0.69
401,2013,EQU-24N,0.57
402,2014,44N-64N,1.14
403,2014,24N-44N,0.72
404,2014,EQU-24N,0.67
405,2015,44N-64N,1.48
406,2015,24N-44N,0.99
407,2015,EQU-24N,0.96
408,2016,44N-64N,1.43
409,2016,24N-44N,1.07
410,2016,EQU-24N,0.94
411,2017,44N-64N,1.38
412,2017,24N-44N,1.03
