,temperature_change_from_co2,gas_co2,population,cumulative_co2,gdp
45,-0.7683573355538917,-0.6593687955722766,-0.9288801656869641,-0.7554318155863595,-0.7101102793158719
46,-0.7568268015630234,-0.6528820200316768,-0.9257138901661314,-0.7462954857000615,-0.7078302229529789
47,-0.4224413158278403,-0.64407001982913,-0.4606219184807514,-0.4417459076129789,-0.5081404344558367
48,-0.36478864587349835,-0.6239749137743956,-0.15256211595230146,-0.4068471432930692,-0.45150740671911643
49,-0.34749284488719573,-0.6224264068036796,-0.1446124905924491,-0.3914853922828143,-0.4665539663438979
50,-0.30713597591915653,-0.6341343417484059,-0.12843627312998068,-0.37792030513214936,-0.4802270275592376
51,-0.3129012429145906,-0.6400927915497926,-0.1268492571350568,-0.36600336337635025,-0.4978016981266815
52,-0.30713597591915637,-0.6381647968746043,-0.11810710916013674,-0.35343460393779075,-0.49727571824127503
53,-0.28407490793741974,-0.627781619007308,-0.10926001261135299,-0.33989575669423017,-0.48253585706509255
54,-0.27254437394655134,-0.6190277740633684,-0.1003055842659065,-0.32580094904629703,-0.46242056902679174
55,-0.24371803896938038,-0.6059418551943514,-0.08273598914673691,-0.31027611918563663,-0.44010527059464655
56,-0.23795277197394618,-0.5919136239994242,-0.0820683991121708,-0.29393277378517235,-0.42319859369338353
57,-0.1975959030059068,-0.5973240344146121,-0.055103701705372744,-0.27859578217930625,-0.4205891044568203
58,-0.3417275778917617,-0.5908431729681082,-0.412219802148938,-0.4296261074594506,-0.48400296102441753
59,-0.31866650991002493,-0.5806285467825383,-0.4064189570285396,-0.41529834629448464,-0.4775350790968149
60,-0.23795277197394618,-0.5751166110853747,-0.3771576232889226,-0.25257555046514374,-0.41721558584734164
61,-0.2667791069511172,-0.5625284618027432,-0.41073369870143683,-0.23708028426127398,-0.41149193744356855
62,-0.27254437394655134,-0.5457925611943488,-0.4157182579198854,-0.22238017455436232,-0.3995632461329353
63,-0.24371803896938038,-0.5317120888349101,-0.4126509319078457,-0.2047966993407582,-0.391650914702463
64,-0.23218750497851198,-0.5198898147376675,-0.4094856441466868,-0.18996379992874168,-0.4225161488830043
65,-0.1975959030059068,-0.5140299331712088,-0.39489033723080946,-0.1716696960655303,-0.4454945035252657
66,-0.16876956802873597,-0.4926672396153026,-0.38795873431408723,-0.15383058738303662,-0.44119398187960585
67,-0.139943233051565,-0.4624107342218597,-0.36457001220007484,-0.11219785136534786,-0.4104243623227026
68,-0.07076002910635464,-0.4429533646471083,-0.3188159274078824,-0.09203423531661861,-0.3909643857347785
69,0.0906674467658027,-0.3926027388812803,0.21356525894082665,-0.05314921110808467,-0.28847912189784564
70,0.11949378174297368,-0.3322986927524411,0.2361585569700194,-0.030750521023827217,-0.24880044917308597
71,0.1540853837155787,-0.3026404965450099,0.26977880104886276,-0.006948499955287328,-0.2192152015681693
72,0.18291171869274966,-0.27748489730908144,0.2952502447454426,0.016164252195131505,-0.18426428065080558
73,0.21750332066535485,-0.25303603231758537,0.32144171948160594,0.03946229495464608,-0.16941065172009095
74,0.24632965564252585,-0.21230566628071249,0.3517076892029251,0.06476003712565062,-0.12576929563371317
75,0.2751559906196968,-0.1806337210337059,0.3793998745810922,0.09149436886758255,-0.09715392370147838
76,0.2982170586014336,-0.13957512277452325,0.40803066818870987,0.11875424954784891,-0.07048422135204685
77,0.35010446156034136,-0.10225916039554979,0.447352526765846,0.14668786441261383,-0.0538579885079506
78,0.38469606353294655,-0.06768733767696679,0.4842106446781966,0.1766449426555345,-0.01185189954998617
79,0.40775713151468335,-0.012923812033420435,0.5081542749623724,0.20784807694041357,0.026414579975257067
80,0.4365834664918543,0.0063137503774418876,0.5321534747515193,0.23883408769883385,0.053873059437008576
81,0.47117506846445917,0.06243258925124585,0.5614586187825658,0.27076782265713295,0.0999844443720755
82,0.5057666704370644,0.10684053613327588,0.5974168911979842,0.3042743871798438,0.14978813737839763
83,0.5288277384188012,0.1717950315860094,0.6353484780342168,0.33946759438598206,0.21674702982035432
84,0.5576540733959722,0.2135968343365479,0.6719172471430067,0.37613034183887123,0.2713969562041526
85,0.5922456753685773,0.2928358383950208,0.7081857622723907,0.41444920662432555,0.3286820950760062
86,0.6095414763548799,0.35718512488529747,0.7443019157692478,0.4537288501848854,0.3721967940917031
87,0.6383678113320509,0.456140732976382,0.7818814405717504,0.49532785942276314,0.43646449375884966
88,0.6556636123183535,0.572942120001148,0.820944840716449,0.5399278223573754,0.5123830383876656
89,0.7075510152772613,0.6670609848043245,0.8663725999038618,0.6086129409055011,0.5839905737040829
90,0.7767342192224715,0.767225039455624,0.905904352062806,0.6593844911858396,0.6427172885898927
91,0.8343868891768133,0.8649515016571586,0.9455541254561345,0.7125318307469896,0.7171164832079602
92,0.9785185640626681,1.1225093138411981,1.052427527934546,0.8463626920050727,0.8919070056490378
93,0.9035700931220235,1.0107989761504539,1.0248100259836543,0.8237237597750287,0.8523896612838087
94,0.9381616950946288,0.9699601850551602,1.0633655952261094,0.8786900129160665,0.8791786596087537
95,1.0015796320444048,1.0534336804861326,1.1013402922449291,0.9369813950151165,0.9544627934584665
96,1.0592323019987469,1.0677063609036805,1.1393630346787857,0.9968024274583521,1.030574484836488
97,1.1111197049576547,1.1472095278317602,1.1774620937310032,1.0584864933059914,1.12323192161911
98,1.1457113069302598,1.2373708780025847,1.2165870113342323,1.122156955130463,1.2058159449142665
99,1.3244345837887195,1.4951593398563556,1.3302294779628714,1.2983733774922148,1.340952888689088
