,year,population,gdp,co2,cement_co2,cumulative_co2,co2_per_capita,co2_per_gdp,gas_co2,oil_co2,temperature_change_from_co2,temp,pred,pred_low,pred_high
63,1944,1062643681.0,5858082610688.0,4168.721,20.240000000000002,177806.381,87.036,12.604,195.4,786.728,0.16,0.21,-0.014158691268680842,-0.08442040817249218,0.05610302563513049
64,1945,1067969580.0,5445709460736.0,3516.603,20.478,181322.989,72.668,12.915000000000001,207.39399999999998,817.9509999999999,0.162,0.09,-0.0035864285820935704,-0.0738481454859049,0.06667528832171776
65,1946,1092527578.0,5138708502016.0,3728.5009999999997,31.21,185660.185,87.36999999999999,15.184,213.339,852.3240000000001,0.168,-0.07,0.006337115421776313,-0.06392460148203502,0.07659883232558765
66,1947,1104190662.0,5196165369088.0,4166.992,36.059,189889.51,101.80499999999999,16.2,235.01200000000003,946.442,0.173,-0.02,0.011557543081329502,-0.05870417382248183,0.08181925998514084
67,1948,1143544421.0,5607261065472.0,4512.262000000001,44.069,199759.867,112.374,16.796,265.70799999999997,1069.222,0.178,-0.1,0.02537772000249615,-0.044883996901315185,0.09563943690630748
68,1949,1220530039.0,5867254940672.0,4229.336,49.286,204540.28999999998,109.029,16.584,285.448,1042.453,0.19,-0.11,0.023190788081733235,-0.0470709288220781,0.09345250498554457
69,1950,2116312237.0,7236503293848.0,4952.536,59.281,213759.215,203.571,33.963,336.53,1265.791,0.218,-0.17,-0.049686675857982046,-0.11994839276179338,0.020575041045829287
70,1951,2154327619.0,7766627872256.0,5310.318,66.947,219069.533,218.05700000000002,35.244,397.71,1398.953,0.223,-0.07,-0.0537856497767,-0.12404736668051133,0.016476067127111332
71,1952,2210896891.0,8161899836680.0,5352.934,71.623,224712.555,220.351,39.06,427.799,1481.9950000000001,0.22899999999999998,0.01,-0.05287303165719749,-0.12313474856100882,0.01738868524661384
72,1953,2253755028.0,8628859564512.0,5479.617,79.184,230192.164,222.412,37.51,453.32,1572.0249999999999,0.23399999999999999,0.08,-0.0510211152211363,-0.12128283212494764,0.01924060168267503
73,1954,2297824686.0,8827310602160.0,5523.53,84.889,235715.70200000002,245.511,39.304,478.124,1659.99,0.24,-0.13,-0.046862277622019596,-0.11712399452583093,0.023399439281791737
74,1955,2348750071.0,9410378379072.0,5997.635,93.19,241713.332,258.493,40.904,519.4459999999999,1837.392,0.245,-0.14,-0.04763549251972464,-0.11789720942353597,0.022626224384086693
75,1956,2395344818.0,9792692376488.0,6338.214,100.699,248051.551,262.718,40.889,551.578,1973.0240000000001,0.25,-0.19,-0.04392044727632129,-0.11418216418013262,0.026341269627490047
76,1957,2443518863.0,10149011369624.0,6462.821,104.074,254514.36800000002,260.467,39.978,593.233,2032.0960000000002,0.254,0.05,-0.04082092536229475,-0.11108264226610609,0.029440791541516582
77,1958,2509681646.0,10371145177832.0,6622.553,108.383,261136.915,261.128,41.217999999999996,631.091,2131.285,0.263,0.06,-0.03850208688951513,-0.10876380379332647,0.0317596300142962
78,1959,2571698950.0,10932365064240.0,6966.553,120.264,268239.188,267.472,41.763,666.1650000000001,2262.752,0.269,0.03,-0.036320491908997034,-0.10658220881280836,0.0339412249948143
79,1960,2611986395.0,11443622118280.0,7397.691,128.762,275636.878,287.038,41.473,721.7239999999999,2424.702,0.273,-0.02,-0.033576450962421046,-0.10383816786623237,0.03668526594139029
80,1961,2652367341.0,11810479521736.0,7346.201,132.524,282983.092,303.388,42.715,741.241,2561.427,0.278,0.06,-0.024636276895452315,-0.09489799379926364,0.04562544000835902
81,1962,2701676045.0,12426547974128.0,7570.9800000000005,140.895,290553.994,324.324,43.777,798.175,2755.016,0.284,0.03,-0.02395272741309558,-0.09421444431690691,0.046308989490715755
